Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
26.02.2025 16:18:26,26.02.2025 16:31:45,XAUUSD.STD,Sell,0.1,2899.2,2891.7,2893.2,2891.35,185,18.5,00:00:13:19,0.44%
26.02.2025 16:03:16,26.02.2025 16:07:10,XAUUSD.STD,Sell,0.1,2909.34,2901.84,2903.34,2901.59,175,17.5,00:00:03:54,0.42%
26.02.2025 15:54:57,26.02.2025 15:57:22,XAUUSD.STD,Sell,0.1,2914.24,2906.74,2908.44,2906.74,170,17,00:00:02:25,0.41%
26.02.2025 15:11:47,26.02.2025 15:42:21,XAUUSD.STD,Sell,0.1,2917.37,2909.87,2911.34,2909.8,154,15.4,00:00:30:34,0.37%
26.02.2025 14:37:02,26.02.2025 14:57:34,XAUUSD.STD,Buy,0.1,2907.53,2915.03,2913.53,2915.05,152,15.2,00:00:20:32,0.37%
26.02.2025 14:26:00,26.02.2025 14:29:33,XAUUSD.STD,Sell,0.1,2917.77,2910.27,2911.77,2910.27,150,15,00:00:03:33,0.36%
25.02.2025 16:48:00,25.02.2025 16:55:51,XAUUSD.STD,Sell,0.1,2942.13,2934.63,2936.13,2934.48,165,16.5,00:00:07:51,0.40%
25.02.2025 16:18:30,25.02.2025 16:35:50,XAUUSD.STD,Buy,0.1,2936.51,2944.01,2942.51,2944.02,151,15.1,00:00:17:20,0.37%
25.02.2025 15:48:05,25.02.2025 16:01:34,XAUUSD.STD,Buy,0.1,2931.49,2938.99,2937.49,2939.03,154,15.4,00:00:13:29,0.38%
25.02.2025 15:11:37,25.02.2025 15:38:31,XAUUSD.STD,Buy,0.1,2925.37,2932.87,2931.37,2932.88,151,15.1,00:00:26:54,0.37%
25.02.2025 14:50:29,25.02.2025 14:55:23,XAUUSD.STD,Buy,0.1,2922.44,2929.94,2928.44,2929.95,151,15.1,00:00:04:54,0.37%
25.02.2025 14:30:23,25.02.2025 14:32:59,XAUUSD.STD,Sell,0.1,2937.76,2930.26,2931.76,2930.26,150,15,00:00:02:36,0.37%
25.02.2025 14:22:50,25.02.2025 14:26:03,XAUUSD.STD,Sell,0.1,2944.08,2936.58,2938.08,2936.58,150,15,00:00:03:13,0.37%
24.02.2025 16:48:21,24.02.2025 16:59:59,XAUUSD.STD,Sell,0.1,2946.21,2938.71,2940.21,2938.68,153,15.3,00:00:11:38,0.38%
24.02.2025 16:33:19,24.02.2025 16:35:42,XAUUSD.STD,Sell,0.1,2946.16,2938.66,2940.13,2938.16,197,19.7,00:00:02:23,0.49%
24.02.2025 16:21:55,24.02.2025 16:25:04,XAUUSD.STD,Sell,0.1,2954.02,2946.52,2948.02,2946.43,159,15.9,00:00:03:09,0.40%
24.02.2025 16:14:03,24.02.2025 16:14:35,XAUUSD.STD,Sell,0.1,2957.72,2950.22,2951.72,2950.21,151,15.1,00:00:00:32,0.38%
24.02.2025 15:02:04,24.02.2025 15:14:07,XAUUSD.STD,Buy,0.1,2943.07,2950.57,2949.07,2950.67,160,16,00:00:12:03,0.41%
24.02.2025 13:50:38,24.02.2025 14:01:39,XAUUSD.STD,Buy,0.1,2941.29,2948.79,2947.27,2948.82,155,15.5,00:00:11:01,0.40%
24.02.2025 13:23:04,24.02.2025 13:30:28,XAUUSD.STD,Buy,0.1,2935.41,2942.91,2941.41,2943.02,161,16.1,00:00:07:24,0.41%
21.02.2025 16:45:01,21.02.2025 16:46:30,XAUUSD.STD,Buy,0.1,2927.75,2935.25,2933.75,2935.57,182,18.2,00:00:01:29,0.47%
21.02.2025 16:32:57,21.02.2025 16:34:48,XAUUSD.STD,Sell,0.1,2938.64,2931.14,2932.64,2930.97,167,16.7,00:00:01:51,0.43%
21.02.2025 15:52:13,21.02.2025 16:11:33,XAUUSD.STD,Buy,0.1,2926.48,2933.98,2932.48,2934.06,158,15.8,00:00:19:20,0.41%
